Season,Date,Time,Status,Team1,Score1,Team2,Score2,Venue,Match-Results
Season 5,"Saturday, 14 October",20:00 (IST),Match 124 - Completed ,Tamil Thalaivas,40,Patna Pirates,37,"Shree Shiv Chhatrapati Sports Complex, Pune",Tamil Thalaivas beat Patna Pirates (40-37)
Season 5,"Saturday, 14 October",21:00 (IST),Match 125 - Completed ,Puneri Paltan,43,U Mumba,24,"Shree Shiv Chhatrapati Sports Complex, Pune",Puneri Paltan beat U Mumba (43-24)
Season 5,"Sunday, 15 October",20:00 (IST),Match 126 - Completed ,Bengaluru Bulls,38,U.P. Yoddha,32,"Shree Shiv Chhatrapati Sports Complex, Pune",Bengaluru Bulls beat U.P. Yoddha (38-32)
Season 5,"Sunday, 15 October",21:00 (IST),Match 127 - Completed ,Puneri Paltan,34,Dabang Delhi K.C.,31,"Shree Shiv Chhatrapati Sports Complex, Pune",Puneri Paltan beat Dabang Delhi K.C. (34-31)
Season 5,"Tuesday, 17 October",20:00 (IST),Match 51 - Completed ,Bengaluru Bulls,64,U.P. Yoddha,24,"Shree Shiv Chhatrapati Sports Complex, Pune",Bengaluru Bulls beat U.P. Yoddha (64-24)
Season 5,"Tuesday, 17 October",21:00 (IST),Match 128 - Completed ,Puneri Paltan,27,Haryana Steelers,31,"Shree Shiv Chhatrapati Sports Complex, Pune",Haryana Steelers beat Puneri Paltan (31-27)
Season 5,"Wednesday, 18 October",20:00 (IST),Match 129 - Completed ,Patna Pirates,29,Bengaluru Bulls,29,"Shree Shiv Chhatrapati Sports Complex, Pune",Match Tied
Season 5,"Wednesday, 18 October",21:00 (IST),Match 130 - Completed ,Puneri Paltan,38,Jaipur Pink Panthers,15,"Shree Shiv Chhatrapati Sports Complex, Pune",Puneri Paltan beat Jaipur Pink Panthers (38-15)
Season 5,"Friday, 20 October",20:00 (IST),Match 131 - Completed ,Telugu Titans,37,Bengal Warriors,37,"Shree Shiv Chhatrapati Sports Complex, Pune",Match Tied
Season 5,"Friday, 20 October",21:00 (IST),Match 132 - Completed ,Puneri Paltan,22,Gujarat Fortunegiants,23,"Shree Shiv Chhatrapati Sports Complex, Pune",Gujarat Fortunegiants beat Puneri Paltan (23-22)
Season 5,"Monday, 23 October",20:00 (IST),Eliminator 1 - Completed ,Puneri Paltan,40,U.P. Yoddha,38,"DOME@NSCI SVP Stadium, Mumbai",Puneri Paltan beat U.P. Yoddha (40-38)
Season 5,"Monday, 23 October",21:00 (IST),Eliminator 2 - Completed ,Patna Pirates,69,Haryana Steelers,30,"DOME@NSCI SVP Stadium, Mumbai",Patna Pirates beat Haryana Steelers (69-30)
Season 5,"Tuesday, 24 October",20:00 (IST),Qualifier 1 - Completed ,Gujarat Fortunegiants,42,Bengal Warriors,17,"DOME@NSCI SVP Stadium, Mumbai",Gujarat Fortunegiants beat Bengal Warriors (42-17)
Season 5,"Tuesday, 24 October",21:00 (IST),Eliminator 3 - Completed ,Puneri Paltan,32,Patna Pirates,42,"DOME@NSCI SVP Stadium, Mumbai",Patna Pirates beat Puneri Paltan (42-32)
Season 5,"Thursday, 26 October",20:00 (IST),Qualifier 2 - Completed ,Bengal Warriors,44,Patna Pirates,47,"Jawaharlal Nehru Indoor Stadium, Chennai",Patna Pirates beat Bengal Warriors (47-44)
Season 5,"Saturday, 28 October",20:00 (IST),Final - Completed ,Gujarat Fortunegiants,38,Patna Pirates,55,"Jawaharlal Nehru Indoor Stadium, Chennai",Patna Pirates beat Gujarat Fortunegiants (55-38)
Season 1,"Saturday, 25 June",20:00 (IST),Match 1 - Completed ,Puneri Paltan,28,Telugu Titans,24,"DOME@NSCI SVP Stadium, Mumbai",Puneri Paltan beat Telugu Titans (28-24)
Season 1,"Saturday, 25 June",21:00 (IST),Match 2 - Completed ,U Mumba,36,Jaipur Pink Panthers,34,"DOME@NSCI SVP Stadium, Mumbai",U Mumba beat Jaipur Pink Panthers (36-34)
Season 1,"Sunday, 26 June",20:00 (IST),Match 3 - Completed ,Bengaluru Bulls,24,Bengal Warriors,23,"DOME@NSCI SVP Stadium, Mumbai",Bengaluru Bulls beat Bengal Warriors (24-23)
Season 1,"Sunday, 26 June",21:00 (IST),Match 4 - Completed ,Puneri Paltan,41,U Mumba,19,"DOME@NSCI SVP Stadium, Mumbai",Puneri Paltan beat U Mumba (41-19)
Season 1,"Monday, 27 June",20:00 (IST),Match 5 - Completed ,Bengal Warriors,31,Dabang Delhi K.C.,23,"DOME@NSCI SVP Stadium, Mumbai",Bengal Warriors beat Dabang Delhi K.C. (31-23)
Season 1,"Monday, 27 June",21:00 (IST),Match 6 - Completed ,Puneri Paltan,24,Patna Pirates,30,"DOME@NSCI SVP Stadium, Mumbai",Patna Pirates beat Puneri Paltan (30-24)
Season 1,"Tuesday, 28 June",20:00 (IST),Match 7 - Completed ,Puneri Paltan,27,Dabang Delhi K.C.,27,"DOME@NSCI SVP Stadium, Mumbai",Match Tied
Season 1,"Wednesday, 29 June",20:00 (IST),Match 8 - Completed ,Jaipur Pink Panthers,28,Telugu Titans,24,"Sawai Mansingh Stadium, Jaipur",Jaipur Pink Panthers beat Telugu Titans (28-24)
Season 1,"Wednesday, 29 June",21:00 (IST),Match 9 - Completed ,U Mumba,34,Patna Pirates,36,"Sawai Mansingh Stadium, Jaipur",Patna Pirates beat U Mumba (36-34)
Season 1,"Thursday, 30 June",20:00 (IST),Match 10 - Completed ,Jaipur Pink Panthers,28,Bengaluru Bulls,28,"Sawai Mansingh Stadium, Jaipur",Match Tied
Season 1,"Friday, 01 July",20:00 (IST),Match 11 - Completed ,U Mumba,27,Dabang Delhi K.C.,25,"Sawai Mansingh Stadium, Jaipur",U Mumba beat Dabang Delhi K.C. (27-25)
Season 1,"Friday, 01 July",21:00 (IST),Match 12 - Completed ,Jaipur Pink Panthers,36,Bengal Warriors,33,"Sawai Mansingh Stadium, Jaipur",Jaipur Pink Panthers beat Bengal Warriors (36-33)
Season 1,"Saturday, 02 July",20:00 (IST),Match 13 - Completed ,Dabang Delhi K.C.,32,Bengaluru Bulls,24,"Sawai Mansingh Stadium, Jaipur",Dabang Delhi K.C. beat Bengaluru Bulls (32-24)
Season 1,"Saturday, 02 July",21:00 (IST),Match 14 - Completed ,Jaipur Pink Panthers,28,Puneri Paltan,33,"Sawai Mansingh Stadium, Jaipur",Puneri Paltan beat Jaipur Pink Panthers (33-28)
Season 1,"Sunday, 03 July",20:00 (IST),Match 15 - Completed ,Telugu Titans,33,Patna Pirates,35,"Gachibowli Indoor Stadium, Hyderabad",Patna Pirates beat Telugu Titans (35-33)
Season 1,"Sunday, 03 July",21:00 (IST),Match 16 - Completed ,Bengal Warriors,18,U Mumba,26,"Gachibowli Indoor Stadium, Hyderabad",U Mumba beat Bengal Warriors (26-18)
Season 1,"Monday, 04 July",20:00 (IST),Match 17 - Completed ,Bengaluru Bulls,29,Puneri Paltan,27,"Gachibowli Indoor Stadium, Hyderabad",Bengaluru Bulls beat Puneri Paltan (29-27)
Season 1,"Monday, 04 July",21:00 (IST),Match 18 - Completed ,Telugu Titans,35,Bengal Warriors,18,"Gachibowli Indoor Stadium, Hyderabad",Telugu Titans beat Bengal Warriors (35-18)
Season 1,"Tuesday, 05 July",20:00 (IST),Match 19 - Completed ,Telugu Titans,28,Bengaluru Bulls,30,"Gachibowli Indoor Stadium, Hyderabad",Bengaluru Bulls beat Telugu Titans (30-28)
Season 1,"Wednesday, 06 July",20:00 (IST),Match 20 - Completed ,Dabang Delhi K.C.,26,Jaipur Pink Panthers,51,"Gachibowli Indoor Stadium, Hyderabad",Jaipur Pink Panthers beat Dabang Delhi K.C. (51-26)
Season 1,"Wednesday, 06 July",21:00 (IST),Match 21 - Completed ,Telugu Titans,35,U Mumba,30,"Gachibowli Indoor Stadium, Hyderabad",Telugu Titans beat U Mumba (35-30)
Season 1,"Thursday, 07 July",20:00 (IST),Match 22 - Completed ,Patna Pirates,31,Bengaluru Bulls,25,"Patliputra Sports Complex, Patna",Patna Pirates beat Bengaluru Bulls (31-25)
Season 1,"Friday, 08 July",20:00 (IST),Match 23 - Completed ,Bengaluru Bulls,23,U Mumba,24,"Patliputra Sports Complex, Patna",U Mumba beat Bengaluru Bulls (24-23)
Season 1,"Friday, 08 July",21:00 (IST),Match 24 - Completed ,Patna Pirates,35,Bengal Warriors,21,"Patliputra Sports Complex, Patna",Patna Pirates beat Bengal Warriors (35-21)
Season 1,"Saturday, 09 July",20:00 (IST),Match 25 - Completed ,Bengal Warriors,31,Puneri Paltan,38,"Patliputra Sports Complex, Patna",Puneri Paltan beat Bengal Warriors (38-31)
Season 1,"Saturday, 09 July",21:00 (IST),Match 26 - Completed ,Patna Pirates,15,Dabang Delhi K.C.,33,"Patliputra Sports Complex, Patna",Dabang Delhi K.C. beat Patna Pirates (33-15)
Season 1,"Sunday, 10 July",20:00 (IST),Match 27 - Completed ,Dabang Delhi K.C.,23,Telugu Titans,28,"Patliputra Sports Complex, Patna",Telugu Titans beat Dabang Delhi K.C. (28-23)
Season 1,"Sunday, 10 July",21:00 (IST),Match 28 - Completed ,Patna Pirates,21,Jaipur Pink Panthers,26,"Patliputra Sports Complex, Patna",Jaipur Pink Panthers beat Patna Pirates (26-21)
Season 1,"Tuesday, 12 July",20:00 (IST),Match 29 - Completed ,Bengaluru Bulls,24,Telugu Titans,32,"Sree Kanteerava Stadium, Bengaluru",Telugu Titans beat Bengaluru Bulls (32-24)
Season 1,"Tuesday, 12 July",21:00 (IST),Match 30 - Completed ,Puneri Paltan,34,Bengal Warriors,34,"Sree Kanteerava Stadium, Bengaluru",Match Tied
Season 1,"Wednesday, 13 July",20:00 (IST),Match 31 - Completed ,Bengaluru Bulls,22,Jaipur Pink Panthers,24,"Sree Kanteerava Stadium, Bengaluru",Jaipur Pink Panthers beat Bengaluru Bulls (24-22)
Season 1,"Thursday, 14 July",20:00 (IST),Match 32 - Completed ,Jaipur Pink Panthers,23,U Mumba,29,"Sree Kanteerava Stadium, Bengaluru",U Mumba beat Jaipur Pink Panthers (29-23)
Season 1,"Thursday, 14 July",21:00 (IST),Match 33 - Completed ,Bengaluru Bulls,23,Patna Pirates,38,"Sree Kanteerava Stadium, Bengaluru",Patna Pirates beat Bengaluru Bulls (38-23)
Season 1,"Friday, 15 July",20:00 (IST),Match 34 - Completed ,Telugu Titans,32,Puneri Paltan,29,"Sree Kanteerava Stadium, Bengaluru",Telugu Titans beat Puneri Paltan (32-29)
Season 1,"Friday, 15 July",21:00 (IST),Match 35 - Completed ,Bengaluru Bulls,20,Dabang Delhi K.C.,40,"Sree Kanteerava Stadium, Bengaluru",Dabang Delhi K.C. beat Bengaluru Bulls (40-20)
Season 1,"Saturday, 16 July",20:00 (IST),Match 36 - Completed ,Bengal Warriors,32,Jaipur Pink Panthers,25,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",Bengal Warriors beat Jaipur Pink Panthers (32-25)
Season 1,"Saturday, 16 July",21:00 (IST),Match 37 - Completed ,Patna Pirates,34,U Mumba,24,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",Patna Pirates beat U Mumba (34-24)
Season 1,"Sunday, 17 July",20:00 (IST),Match 38 - Completed ,Puneri Paltan,27,Jaipur Pink Panthers,33,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",Jaipur Pink Panthers beat Puneri Paltan (33-27)
Season 1,"Sunday, 17 July",21:00 (IST),Match 39 - Completed ,Bengal Warriors,27,Patna Pirates,33,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",Patna Pirates beat Bengal Warriors (33-27)
Season 1,"Monday, 18 July",20:00 (IST),Match 40 - Completed ,Bengal Warriors,34,Telugu Titans,34,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",Match Tied
Season 1,"Tuesday, 19 July",20:00 (IST),Match 41 - Completed ,Telugu Titans,36,Dabang Delhi K.C.,28,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",Telugu Titans beat Dabang Delhi K.C. (36-28)
Season 1,"Tuesday, 19 July",21:00 (IST),Match 42 - Completed ,Bengal Warriors,25,Bengaluru Bulls,27,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",Bengaluru Bulls beat Bengal Warriors (27-25)
Season 1,"Wednesday, 20 July",20:00 (IST),Match 43 - Completed ,U Mumba,34,Puneri Paltan,31,"DOME@NSCI SVP Stadium, Mumbai",U Mumba beat Puneri Paltan (34-31)
Season 1,"Thursday, 21 July",20:00 (IST),Match 44 - Completed ,Jaipur Pink Panthers,24,Dabang Delhi K.C.,22,"DOME@NSCI SVP Stadium, Mumbai",Jaipur Pink Panthers beat Dabang Delhi K.C. (24-22)
Season 1,"Thursday, 21 July",21:00 (IST),Match 45 - Completed ,U Mumba,25,Telugu Titans,25,"DOME@NSCI SVP Stadium, Mumbai",Match Tied
Season 1,"Friday, 22 July",20:00 (IST),Match 46 - Completed ,Jaipur Pink Panthers,29,Patna Pirates,22,"DOME@NSCI SVP Stadium, Mumbai",Jaipur Pink Panthers beat Patna Pirates (29-22)
Season 1,"Friday, 22 July",21:00 (IST),Match 47 - Completed ,U Mumba,27,Bengal Warriors,31,"DOME@NSCI SVP Stadium, Mumbai",Bengal Warriors beat U Mumba (31-27)
Season 1,"Saturday, 23 July",20:00 (IST),Match 48 - Completed ,Patna Pirates,31,Puneri Paltan,28,"DOME@NSCI SVP Stadium, Mumbai",Patna Pirates beat Puneri Paltan (31-28)
Season 1,"Saturday, 23 July",21:00 (IST),Match 49 - Completed ,U Mumba,27,Bengaluru Bulls,28,"DOME@NSCI SVP Stadium, Mumbai",Bengaluru Bulls beat U Mumba (28-27)
Season 1,"Sunday, 24 July",20:00 (IST),Match 50 - Completed ,Dabang Delhi K.C.,41,Bengal Warriors,20,"Thyagaraj Sports Complex, Delhi",Dabang Delhi K.C. beat Bengal Warriors (41-20)
Season 1,"Sunday, 24 July",21:00 (IST),Match 51 - Completed ,Telugu Titans,35,Jaipur Pink Panthers,23,"Thyagaraj Sports Complex, Delhi",Telugu Titans beat Jaipur Pink Panthers (35-23)
Season 1,"Monday, 25 July",20:00 (IST),Match 52 - Completed ,Dabang Delhi K.C.,31,Patna Pirates,32,"Thyagaraj Sports Complex, Delhi",Patna Pirates beat Dabang Delhi K.C. (32-31)
Season 1,"Tuesday, 26 July",20:00 (IST),Match 53 - Completed ,Patna Pirates,25,Telugu Titans,46,"Thyagaraj Sports Complex, Delhi",Telugu Titans beat Patna Pirates (46-25)
Season 1,"Tuesday, 26 July",21:00 (IST),Match 54 - Completed ,Dabang Delhi K.C.,34,Puneri Paltan,39,"Thyagaraj Sports Complex, Delhi",Puneri Paltan beat Dabang Delhi K.C. (39-34)
Season 1,"Wednesday, 27 July",20:00 (IST),Match 55 - Completed ,Puneri Paltan,36,Bengaluru Bulls,33,"Thyagaraj Sports Complex, Delhi",Puneri Paltan beat Bengaluru Bulls (36-33)
Season 1,"Wednesday, 27 July",21:00 (IST),Match 56 - Completed ,Dabang Delhi K.C.,34,U Mumba,38,"Thyagaraj Sports Complex, Delhi",U Mumba beat Dabang Delhi K.C. (38-34)
Season 1,"Friday, 29 July",20:00 (IST),Semi-Final 1 - Completed ,Patna Pirates,37,Puneri Paltan,33,"Gachibowli Indoor Stadium, Hyderabad",Patna Pirates beat Puneri Paltan (37-33)
Season 1,"Friday, 29 July",21:00 (IST),Semi-Final 2 - Completed ,Telugu Titans,24,Jaipur Pink Panthers,34,"Gachibowli Indoor Stadium, Hyderabad",Jaipur Pink Panthers beat Telugu Titans (34-24)
Season 1,"Sunday, 31 July",20:00 (IST),3/4 Place - Completed ,Telugu Titans,35,Puneri Paltan,40,"Gachibowli Indoor Stadium, Hyderabad",Puneri Paltan beat Telugu Titans (40-35)
Season 1,"Sunday, 31 July",21:15 (IST),Final - Completed ,Patna Pirates,37,Jaipur Pink Panthers,29,"Gachibowli Indoor Stadium, Hyderabad",Patna Pirates beat Jaipur Pink Panthers (37-29)
Season 1,"Saturday, 30 January",20:00 (IST),Match 1 - Completed ,Telugu Titans,25,U Mumba,27,"Rajiv Gandhi Indoor Stadium, Vizag",U Mumba beat Telugu Titans (27-25)
Season 1,"Saturday, 30 January",21:00 (IST),Match 2 - Completed ,Dabang Delhi K.C.,29,Bengaluru Bulls,35,"Rajiv Gandhi Indoor Stadium, Vizag",Bengaluru Bulls beat Dabang Delhi (35-29)
Season 1,"Sunday, 31 January",20:00 (IST),Match 3 - Completed ,Jaipur Pink Panthers,27,U Mumba,18,"Rajiv Gandhi Indoor Stadium, Vizag",Jaipur Pink Panthers beat U Mumba (27-18)
Season 1,"Sunday, 31 January",21:00 (IST),Match 4 - Completed ,Telugu Titans,27,Puneri Paltan,26,"Rajiv Gandhi Indoor Stadium, Vizag",Telugu Titans beat Puneri Paltan (27-26)
Season 1,"Monday, 01 February",20:00 (IST),Match 5 - Completed ,Patna Pirates,29,Jaipur Pink Panthers,28,"Rajiv Gandhi Indoor Stadium, Vizag",Patna Pirates beat Jaipur Pink Panthers (29-28)
Season 1,"Monday, 01 February",21:00 (IST),Match 6 - Completed ,Telugu Titans,45,Dabang Delhi K.C.,34,"Rajiv Gandhi Indoor Stadium, Vizag",Telugu Titans beat Dabang Delhi (45-34)
Season 1,"Tuesday, 02 February",20:00 (IST),Match 7 - Completed ,Telugu Titans,17,Bengal Warriors,25,"Rajiv Gandhi Indoor Stadium, Vizag",Bengal Warriors beat Telugu Titans (25-17)
Season 1,"Wednesday, 03 February",20:00 (IST),Match 8 - Completed ,Bengaluru Bulls,24,Patna Pirates,33,"Sree Kanteerava Stadium, Bengaluru",Patna Pirates beat Bengaluru Bulls (33-24)
Season 1,"Wednesday, 03 February",21:00 (IST),Match 9 - Completed ,Dabang Delhi K.C.,20,Puneri Paltan,38,"Sree Kanteerava Stadium, Bengaluru",Puneri Paltan beat Dabang Delhi (38-20)
Season 1,"Thursday, 04 February",20:00 (IST),Match 10 - Completed ,Bengaluru Bulls,24,Bengal Warriors,34,"Sree Kanteerava Stadium, Bengaluru",Bengal Warriors beat Bengaluru Bulls (34-24)
Season 1,"Friday, 05 February",20:00 (IST),Match 11 - Completed ,Dabang Delhi K.C.,17,U Mumba,30,"Sree Kanteerava Stadium, Bengaluru",U Mumba beat Dabang Delhi (30-17)
Season 1,"Friday, 05 February",21:00 (IST),Match 12 - Completed ,Bengaluru Bulls,36,Jaipur Pink Panthers,26,"Sree Kanteerava Stadium, Bengaluru",Bengaluru Bulls beat Jaipur Pink Panthers (36-26)
Season 1,"Saturday, 06 February",20:00 (IST),Match 13 - Completed ,U Mumba,26,Patna Pirates,40,"Sree Kanteerava Stadium, Bengaluru",Patna Pirates beat U Mumba (40-26)
Season 1,"Saturday, 06 February",21:00 (IST),Match 14 - Completed ,Bengaluru Bulls,26,Telugu Titans,35,"Sree Kanteerava Stadium, Bengaluru",Telugu Titans beat Bengaluru Bulls (35-26)
Season 1,"Sunday, 07 February",20:00 (IST),Match 15 - Completed ,Bengal Warriors,33,Puneri Paltan,28,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",Bengal Warriors beat Puneri Paltan (33-28)
Season 1,"Sunday, 07 February",21:00 (IST),Match 16 - Completed ,Jaipur Pink Panthers,39,Dabang Delhi K.C.,34,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",Jaipur Pink Panthers beat Dabang Delhi (39-34)
Season 1,"Monday, 08 February",20:00 (IST),Match 17 - Completed ,Patna Pirates,29,Telugu Titans,25,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",Patna Pirates beat Telugu Titans (29-25)
Season 1,"Monday, 08 February",21:00 (IST),Match 18 - Completed ,Bengal Warriors,34,Dabang Delhi K.C.,17,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",Bengal Warriors beat Dabang Delhi (34-17)
Season 1,"Tuesday, 09 February",20:00 (IST),Match 19 - Completed ,Bengal Warriors,31,Patna Pirates,36,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",Patna Pirates beat Bengal Warriors (36-31)
Season 1,"Wednesday, 10 February",20:00 (IST),Match 20 - Completed ,U Mumba,29,Bengaluru Bulls,28,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",U Mumba beat Bengaluru Bulls (29-28)
Season 1,"Wednesday, 10 February",21:00 (IST),Match 21 - Completed ,Bengal Warriors,34,Jaipur Pink Panthers,20,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",Bengal Warriors beat Jaipur Pink Panthers (34-20)
Season 1,"Thursday, 11 February",20:00 (IST),Match 22 - Completed ,Puneri Paltan,30,Patna Pirates,30,"Shree Shiv Chhatrapati Sports Complex, Pune",Match Tied
Season 1,"Friday, 12 February",20:00 (IST),Match 23 - Completed ,Patna Pirates,47,Dabang Delhi K.C.,34,"Shree Shiv Chhatrapati Sports Complex, Pune",Patna Pirates beat Dabang Delhi (47-34)
Season 1,"Friday, 12 February",21:00 (IST),Match 24 - Completed ,Puneri Paltan,32,Jaipur Pink Panthers,32,"Shree Shiv Chhatrapati Sports Complex, Pune",Match Tied
Season 1,"Saturday, 13 February",20:00 (IST),Match 25 - Completed ,Jaipur Pink Panthers,25,Telugu Titans,27,"Shree Shiv Chhatrapati Sports Complex, Pune",Telugu Titans beat Jaipur Pink Panthers (27-25)
Season 1,"Saturday, 13 February",21:00 (IST),Match 26 - Completed ,Puneri Paltan,27,U Mumba,29,"Shree Shiv Chhatrapati Sports Complex, Pune",U Mumba beat Puneri Paltan (29-27)
Season 1,"Sunday, 14 February",20:00 (IST),Match 27 - Completed ,U Mumba,32,Bengal Warriors,21,"Shree Shiv Chhatrapati Sports Complex, Pune",U Mumba beat Bengal Warriors (32-21)
Season 1,"Sunday, 14 February",21:00 (IST),Match 28 - Completed ,Puneri Paltan,29,Bengaluru Bulls,27,"Shree Shiv Chhatrapati Sports Complex, Pune",Puneri Paltan beat Bengaluru Bulls (29-27)
Season 1,"Tuesday, 16 February",20:00 (IST),Match 29 - Completed ,Patna Pirates,32,Bengal Warriors,27,"Patliputra Sports Complex, Patna",Patna Pirates beat Bengal Warriors (32-27)
Season 1,"Tuesday, 16 February",21:30 (IST),Match 30 - Completed ,Telugu Titans,26,Jaipur Pink Panthers,35,"Patliputra Sports Complex, Patna",Jaipur Pink Panthers beat Telugu Titans (35-26)
Season 1,"Wednesday, 17 February",20:00 (IST),Match 31 - Completed ,Patna Pirates,36,Bengaluru Bulls,32,"Patliputra Sports Complex, Patna",Patna Pirates beat Bengaluru Bulls (36-32)
Season 1,"Thursday, 18 February",20:00 (IST),Match 32 - Completed ,Bengaluru Bulls,21,Dabang Delhi K.C.,35,"Patliputra Sports Complex, Patna",Dabang Delhi beat Bengaluru Bulls (35-21)
Season 1,"Thursday, 18 February",21:00 (IST),Match 33 - Completed ,Patna Pirates,28,Puneri Paltan,28,"Patliputra Sports Complex, Patna",Match Tied
Season 1,"Friday, 19 February",20:00 (IST),Match 34 - Completed ,Bengal Warriors,32,Telugu Titans,28,"Patliputra Sports Complex, Patna",Bengal Warriors beat Telugu Titans (32-28)
Season 1,"Friday, 19 February",21:00 (IST),Match 35 - Completed ,Patna Pirates,28,U Mumba,34,"Patliputra Sports Complex, Patna",U Mumba beat Patna Pirates (34-28)
Season 1,"Saturday, 20 February",20:00 (IST),Match 36 - Completed ,Jaipur Pink Panthers,30,Bengaluru Bulls,21,"Sawai Mansingh Stadium, Jaipur",Jaipur Pink Panthers beat Bengaluru Bulls (30-21)
Season 1,"Saturday, 20 February",21:00 (IST),Match 37 - Completed ,Puneri Paltan,32,Dabang Delhi K.C.,22,"Sawai Mansingh Stadium, Jaipur",Puneri Paltan beat Dabang Delhi (32-22)
Season 1,"Sunday, 21 February",20:00 (IST),Match 38 - Completed ,Telugu Titans,40,Bengaluru Bulls,22,"Sawai Mansingh Stadium, Jaipur",Telugu Titans beat Bengaluru Bulls (40-22)
Season 1,"Sunday, 21 February",21:00 (IST),Match 39 - Completed ,Jaipur Pink Panthers,18,Puneri Paltan,33,"Sawai Mansingh Stadium, Jaipur",Puneri Paltan beat Jaipur Pink Panthers (33-18)
Season 1,"Monday, 22 February",20:00 (IST),Match 40 - Completed ,Jaipur Pink Panthers,18,Bengal Warriors,34,"Sawai Mansingh Stadium, Jaipur",Bengal Warriors beat Jaipur Pink Panthers (34-18)
Season 1,"Tuesday, 23 February",20:00 (IST),Match 41 - Completed ,Bengal Warriors,17,U Mumba,30,"Sawai Mansingh Stadium, Jaipur",U Mumba beat Bengal Warriors (30-17)
Season 1,"Tuesday, 23 February",21:00 (IST),Match 42 - Completed ,Jaipur Pink Panthers,24,Patna Pirates,47,"Sawai Mansingh Stadium, Jaipur",Patna Pirates beat Jaipur Pink Panthers (47-24)
Season 1,"Wednesday, 24 February",20:00 (IST),Match 43 - Completed ,Dabang Delhi K.C.,36,Telugu Titans,44,"Thyagaraj Sports Complex, Delhi",Telugu Titans beat Dabang Delhi (44-36)
Season 1,"Thursday, 25 February",20:00 (IST),Match 44 - Completed ,Bengaluru Bulls,18,U Mumba,39,"Thyagaraj Sports Complex, Delhi",U Mumba beat Bengaluru Bulls (39-18)
Season 1,"Thursday, 25 February",21:00 (IST),Match 45 - Completed ,Dabang Delhi K.C.,34,Patna Pirates,67,"Thyagaraj Sports Complex, Delhi",Patna Pirates beat Dabang Delhi (67-34)
Season 1,"Friday, 26 February",20:00 (IST),Match 46 - Completed ,Puneri Paltan,41,Telugu Titans,24,"Thyagaraj Sports Complex, Delhi",Puneri Paltan beat Telugu Titans (41-24)
Season 1,"Friday, 26 February",21:00 (IST),Match 47 - Completed ,Dabang Delhi K.C.,21,Jaipur Pink Panthers,21,"Thyagaraj Sports Complex, Delhi",Match Tied
Season 1,"Saturday, 27 February",20:00 (IST),Match 48 - Completed ,Bengaluru Bulls,27,Puneri Paltan,44,"Thyagaraj Sports Complex, Delhi",Puneri Paltan beat Bengaluru Bulls (44-27)
Season 1,"Saturday, 27 February",21:00 (IST),Match 49 - Completed ,Dabang Delhi K.C.,31,Bengal Warriors,37,"Thyagaraj Sports Complex, Delhi",Bengal Warriors beat Dabang Delhi (37-31)
Season 1,"Sunday, 28 February",20:00 (IST),Match 50 - Completed ,U Mumba,35,Jaipur Pink Panthers,21,"DOME@NSCI SVP Stadium, Mumbai",U Mumba beat Jaipur Pink Panthers (35-21)
Season 1,"Sunday, 28 February",21:00 (IST),Match 51 - Completed ,Telugu Titans,42,Patna Pirates,41,"DOME@NSCI SVP Stadium, Mumbai",Telugu Titans beat Patna Pirates (42-41)
Season 1,"Monday, 29 February",20:00 (IST),Match 52 - Completed ,U Mumba,30,Puneri Paltan,27,"DOME@NSCI SVP Stadium, Mumbai",U Mumba beat Puneri Paltan (30-27)
Season 1,"Tuesday, 01 March",20:00 (IST),Match 53 - Completed ,Bengal Warriors,26,Bengaluru Bulls,22,"DOME@NSCI SVP Stadium, Mumbai",Bengal Warriors beat Bengaluru Bulls (26-22)
Season 1,"Tuesday, 01 March",21:00 (IST),Match 54 - Completed ,U Mumba,38,Telugu Titans,22,"DOME@NSCI SVP Stadium, Mumbai",U Mumba beat Telugu Titans (38-22)
Season 1,"Wednesday, 02 March",20:00 (IST),Match 55 - Completed ,Puneri Paltan,43,Bengal Warriors,19,"DOME@NSCI SVP Stadium, Mumbai",Puneri Paltan beat Bengal Warriors (43-19)
Season 1,"Wednesday, 02 March",21:00 (IST),Match 56 - Completed ,U Mumba,36,Dabang Delhi K.C.,20,"DOME@NSCI SVP Stadium, Mumbai",U Mumba beat Dabang Delhi (36-20)
Season 1,"Friday, 04 March",20:00 (IST),Semi-Final 1 - Completed ,Patna Pirates,40,Puneri Paltan,21,"Indira Gandhi Indoor Stadium, New Delhi",Patna Pirates beat Puneri Paltan (40-21)
